 ime,open,high,low,close,Volume
2025-02-07 15:09:00,523.07,523.18,522.88,522.92,9680
2025-02-07 15:10:00,522.92,523.04,522.75,522.83,7127
2025-02-07 15:11:00,522.78,522.8,522.34,522.34,12324
2025-02-07 15:12:00,522.3,522.58,522.3,522.57,1793
2025-02-07 15:13:00,522.63,522.63,522.41,522.42,2065
2025-02-07 15:14:00,522.44,522.62,522.42,522.51,3768
2025-02-07 15:15:00,522.5,522.67,522.49,522.55,5180
2025-02-07 15:16:00,522.57,522.72,522.37,522.38,7472
2025-02-07 15:17:00,522.39,522.54,522.18,522.47,5707
2025-02-07 15:18:00,522.52,522.78,522.43,522.76,5829
2025-02-07 15:19:00,522.79,522.86,522.73,522.83,6468
2025-02-07 15:20:00,522.83,523.04,522.75,522.75,4923
2025-02-07 15:21:00,522.74,522.88,522.63,522.63,2899
2025-02-07 15:22:00,522.68,522.82,522.57,522.82,6071
2025-02-07 15:23:00,522.8,522.94,522.78,522.87,5083
2025-02-07 15:24:00,522.81,522.87,522.69,522.77,6610
2025-02-07 15:25:00,522.79,522.82,522.69,522.72,4355
2025-02-07 15:26:00,522.7,522.93,522.69,522.85,1128
2025-02-07 15:27:00,522.82,522.91,522.77,522.87,1102
2025-02-07 15:28:00,522.9,522.9,522.65,522.83,2511
2025-02-07 15:29:00,522.82,522.82,522.62,522.63,3321
2025-02-07 15:30:00,522.64,523.06,522.61,522.85,6936
2025-02-07 15:31:00,522.83,522.91,522.74,522.78,2366
2025-02-07 15:32:00,522.75,522.84,522.62,522.62,3882
2025-02-07 15:33:00,522.64,522.93,522.59,522.92,3709
2025-02-07 15:34:00,522.9,523.19,522.84,523.16,11909
2025-02-07 15:35:00,523.16,523.2,523.1,523.2,12160
2025-02-07 15:36:00,523.2,523.24,523.1,523.11,3070
2025-02-07 15:37:00,523.12,523.16,522.9,522.9,4795
2025-02-07 15:38:00,522.86,522.86,522.69,522.73,3152
2025-02-07 15:39:00,522.72,522.8,522.57,522.8,6369
2025-02-07 15:40:00,522.77,523.11,522.76,523.05,4565
2025-02-07 15:41:00,523.105,523.15,522.96,523.04,4539
2025-02-07 15:42:00,523.07,523.12,523,523,2658
2025-02-07 15:43:00,523.06,523.19,523,523.07,1693
2025-02-07 15:44:00,523.07,523.09,522.95,523.03,4032
2025-02-07 15:45:00,523.06,523.3,523,523,9980
2025-02-07 15:46:00,523.01,523.01,522.84,522.9,5502
2025-02-07 15:47:00,522.915,523.1,522.88,523.04,4180
2025-02-07 15:48:00,523.09,523.16,522.98,523.09,5109
2025-02-07 15:49:00,523.1,523.17,523.02,523.03,4824
2025-02-07 15:50:00,523.03,523.52,523.03,523.44,25777
2025-02-07 15:51:00,523.48,523.49,523.16,523.34,19681
2025-02-07 15:52:00,523.34,523.6,523.275,523.55,20887
2025-02-07 15:53:00,523.54,523.63,523.37,523.63,12535
2025-02-07 15:54:00,523.61,523.74,523.17,523.3,37256
2025-02-07 15:55:00,523.3,523.3,522.85,522.95,34441
2025-02-07 15:56:00,522.93,523.13,522.86,523.07,20535
2025-02-07 15:57:00,523.05,523.15,522.97,523.11,22946
2025-02-07 15:58:00,523.11,523.12,522.83,522.9,12167
2025-02-07 15:59:00,522.91,523.13,522.9,522.92,160036
2025-02-10 9:30:00,527.22,527.55,527,527.03,49818
2025-02-10 9:31:00,527.05,527.6,527.05,527.35,23782
2025-02-10 9:32:00,527.36,527.36,526.75,526.94,20394
2025-02-10 9:33:00,526.93,527.03,526.82,526.97,10090
2025-02-10 9:34:00,526.96,527.01,526.76,526.96,10687
2025-02-10 9:35:00,526.93,527.35,526.93,527.27,16677
2025-02-10 9:36:00,527.29,527.64,527.24,527.5,39376
2025-02-10 9:37:00,527.51,527.55,527.29,527.34,31418
2025-02-10 9:38:00,527.31,527.57,527.17,527.56,8188
2025-02-10 9:39:00,527.57,527.76,527.48,527.58,12256
2025-02-10 9:40:00,527.52,527.56,527.19,527.26,7034
2025-02-10 9:41:00,527.24,527.46,527.21,527.425,6197
2025-02-10 9:42:00,527.5,527.72,527.44,527.72,19314
2025-02-10 9:43:00,527.76,528.03,527.65,527.9,15931
2025-02-10 9:44:00,527.89,528.155,527.79,528.08,13442
2025-02-10 9:45:00,528.07,528.24,527.87,528.01,16149
